numero_processo,tribunal,grau,classe,classe_codigo,assunto,n_assuntos,orgao_julgador,municipio_ibge,sistema,formato,nivel_sigilo,data_ajuizamento,data_ultima_atualizacao
00004322120238260161,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,02 CIVEL DE DIADEMA,,SAJ,Eletrônico,0,2023-01-20,2024-07-20
00001918220238260408,TJSP,G1,Cumprimento de Sentença contra a Fazenda Pública,12078,Assistência Médico-Hospitalar,1,VARA JUIZADO ESPECIAL CIVEL DE OURINHOS,3534708.0,SAJ,Eletrônico,0,2023-01-20,2024-02-28
21590722320228260000,TJSP,G2,Embargos de Declaração Cível,1689,Tratamento médico-hospitalar,1,2ª CÂMARA DE DIREITO PRIVADO,3550308.0,SAJ,Eletrônico,0,2023-01-20,2023-07-27
00005836320238260071,TJSP,G1,Cumprimento de sentença,156,Serviços Hospitalares,1,01 CIVEL DE BAURU,3506003.0,SAJ,Eletrônico,0,2023-01-20,2024-02-28
00000246320238260538,TJSP,JE,Cumprimento de sentença,156,Planos de Saúde,1,JUIZADO ESPECIAL CIVEL CRIM. DE SANTA CRUZ DAS PALMEIRAS,,SAJ,Eletrônico,0,2023-01-20,2025-08-14
00007282820238260554,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,06 CIVEL DE SANTO ANDRE,3547809.0,SAJ,Eletrônico,0,2023-01-20,2023-07-19
10017618620238260602,TJSP,G1,Procedimento do Juizado Especial da Fazenda Pública,14695,Fornecimento de medicamentos,1,ANEXO DO JUIZADO ESPECIAL DA FAZENDA PÚBLICA DE SOROCABA,3552205.0,SAJ,Eletrônico,0,2023-01-22,2024-03-10
00004607020238260037,TJSP,G1,Cumprimento Provisório de Decisão,10980,Tratamento médico-hospitalar,1,02 CIVEL DE ARARAQUARA,3503208.0,SAJ,Eletrônico,0,2023-01-23,2023-07-20
00004376420238260348,TJSP,G1,Cumprimento Provisório de Decisão,10980,Tratamento médico-hospitalar,1,03 CIVEL DE MAUA,,SAJ,Eletrônico,0,2023-01-23,2024-07-20
00033854420238260100,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,41 CIVEL DE CENTRAL,,SAJ,Eletrônico,0,2023-01-23,2024-07-20
00007813720238260577,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,04 CIVEL DE SAO JOSE DOS CAMPOS,,SAJ,Eletrônico,0,2023-01-23,2024-08-26
00015954120238260224,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,07 CIVEL DE GUARULHOS,,SAJ,Eletrônico,0,2023-01-24,2024-08-25
10016261820238260071,TJSP,G1,Mandado de Segurança Cível,120,Assistência Médico-Hospitalar,2,01 FAZENDA PUBLICA DE BAURU,3506003.0,SAJ,Eletrônico,0,2023-01-24,2024-02-28
00001585920238260322,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,01 CIVEL DE LINS,3527108.0,SAJ,Eletrônico,0,2023-01-24,2024-02-28
00002527120238260624,TJSP,G1,Procedimento do Juizado Especial da Fazenda Pública,14695,Fornecimento de medicamentos,1,VARA JUIZADO ESP. CIVEL CRIM. DE TATUI,3554003.0,SAJ,Eletrônico,0,2023-01-24,2023-11-23
00001557020238260010,TJSP,G1,Cumprimento de sentença,156,Tratamento médico-hospitalar,1,02 CIVEL DE IPIRANGA,,SAJ,Eletrônico,0,2023-01-24,2024-07-20
00041017120238260100,TJSP,G1,Cumprimento de sentença,156,Tratamento médico-hospitalar,1,39 CIVEL DE CENTRAL,,SAJ,Eletrônico,0,2023-01-24,2024-07-20
00011593820238260562,TJSP,G1,Cumprimento de sentença,156,Tratamento médico-hospitalar,1,05 CIVEL DE SANTOS,,SAJ,Eletrônico,0,2023-01-25,2024-08-26
30071700620228260000,TJSP,G2,Embargos de Declaração Cível,1689,Fornecimento de medicamentos,1,9ª CÂMARA DE DIREITO PÚBLICO,3550308.0,SAJ,Eletrônico,0,2023-01-25,2023-07-27
00015629020238260114,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,04 CIVEL DE CAMPINAS,,SAJ,Eletrônico,0,2023-01-25,2024-07-19
00034218620238260100,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,13 CIVEL DE CENTRAL,,SAJ,Eletrônico,0,2023-01-26,2024-07-20
10008135420238260438,TJSP,G1,Procedimento do Juizado Especial da Fazenda Pública,14695,Fornecimento de medicamentos,1,VARA JUIZADO ESP. CIVEL CRIM. DE PENAPOLIS,3537305.0,SAJ,Eletrônico,0,2023-01-26,2024-02-28
00006148620238260361,TJSP,JE,Cumprimento de sentença,156,Tratamento médico-hospitalar,1,VARA JUIZADO ESP. CIVEL CRIM. DE MOGI DAS CRUZES,,SAJ,Eletrônico,0,2023-01-26,2024-07-31
00001186020238260457,TJSP,G1,Cumprimento de sentença,156,Fornecimento de medicamentos,1,03 CUMULATIVA DE PIRASSUNUNGA,,SAJ,Eletrônico,0,2023-01-26,2025-07-09
00002945620238260322,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,03 CIVEL DE LINS,3527108.0,SAJ,Eletrônico,0,2023-01-26,2024-02-28
21620896720228260000,TJSP,G2,Agravo Interno Cível,1208,Tratamento médico-hospitalar,1,9ª CÂMARA DE DIREITO PRIVADO,3550308.0,SAJ,Eletrônico,0,2023-01-27,2023-07-27
00000502720238260614,TJSP,JE,Cumprimento de sentença,156,Planos de Saúde,1,JUIZADO ESPECIAL CIVEL CRIM. DE TAMBAU,,SAJ,Eletrônico,0,2023-01-27,2025-08-15
23029163120228260000,TJSP,G2,Embargos de Declaração Cível,1689,Tratamento médico-hospitalar,1,5ª CÂMARA DE DIREITO PRIVADO,3550308.0,SAJ,Eletrônico,0,2023-01-27,2023-10-20
00007794820228260627,TJSP,G1,Requisição de Pequeno Valor,1266,Planos de Saúde,1,VARA UNICA DE TEODORO SAMPAIO,,SAJ,Eletrônico,0,2023-01-27,2024-08-27
10002537320228260042,TJSP,G2,Embargos de Declaração Cível,1689,Tratamento médico-hospitalar,1,9ª CÂMARA DE DIREITO PRIVADO,,SAJ,Eletrônico,0,2023-01-27,2024-07-19
10001605920238260274,TJSP,G1,Procedimento do Juizado Especial da Fazenda Pública,14695,Custeio de Assistência Médica,1,JUIZADO ESPECIAL CIVEL CRIM. DE ITAPOLIS,3522703.0,SAJ,Eletrônico,0,2023-01-27,2023-12-04
10166632820228260554,TJSP,G2,Apelação Cível,198,Tratamento médico-hospitalar,1,2ª CÂMARA DE DIREITO PRIVADO,,SAJ,Eletrônico,0,2023-01-27,2024-07-19
00007147320228260588,TJSP,G1,Requisição de Pequeno Valor,1266,Fornecimento de medicamentos,1,JUIZADO ESPECIAL CIVEL CRIM. DE SAO SEBASTIAO DA GRAMA,,SAJ,Eletrônico,0,2023-01-27,2024-07-20
10040960920218260001,TJSP,G2,Apelação Cível,198,Tratamento médico-hospitalar,1,1ª CÂMARA DE DIREITO PRIVADO,,SAJ,Eletrônico,0,2023-01-27,2024-07-19
00042169220238260100,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,38 CIVEL DE CENTRAL,,SAJ,Eletrônico,0,2023-01-28,2024-07-20
10002277220198260659,TJSP,G2,Embargos de Declaração Cível,1689,Fornecimento de medicamentos,1,9ª CÂMARA DE DIREITO PÚBLICO,3550308.0,SAJ,Eletrônico,0,2023-01-28,2023-07-27
20127474520238260000,TJSP,G2,Pedido de Efeito Suspensivo à Apelação,12357,Fornecimento de medicamentos,1,12ª CÂMARA DE DIREITO PÚBLICO,,SAJ,Eletrônico,0,2023-01-28,2024-07-19
00002362420238260073,TJSP,G1,Cumprimento Provisório de Sentença,157,Fornecimento de medicamentos,1,01 CIVEL DE AVARE,,SAJ,Eletrônico,0,2023-01-29,2024-07-19
20128591420238260000,TJSP,G2,Agravo de Instrumento,202,Tratamento médico-hospitalar,1,1ª CÂMARA DE DIREITO PRIVADO,,SAJ,Eletrônico,0,2023-01-29,2024-07-19
10311691320218260564,TJSP,G2,Apelação Cível,198,Serviços Hospitalares,1,36ª CÂMARA DE DIREITO PRIVADO,3550308.0,SAJ,Eletrônico,0,2023-01-30,2023-09-29
10168244220228260100,TJSP,G2,Apelação Cível,198,Tratamento médico-hospitalar,1,5ª CÂMARA DE DIREITO PRIVADO,3550308.0,SAJ,Eletrônico,0,2023-01-30,2023-07-27
10080256220228260309,TJSP,G2,Apelação Cível,198,Tratamento médico-hospitalar,1,4ª CÂMARA DE DIREITO PRIVADO,,SAJ,Eletrônico,0,2023-01-30,2024-07-19
11128662720208260100,TJSP,G2,Embargos de Declaração Cível,1689,Fornecimento de medicamentos,1,4ª CÂMARA DE DIREITO PRIVADO,3550308.0,SAJ,Eletrônico,0,2023-01-30,2023-09-29
00033231120228260400,TJSP,G2,Apelação Cível,198,Tratamento médico-hospitalar,1,7ª CÂMARA DE DIREITO PRIVADO,3550308.0,SAJ,Eletrônico,0,2023-01-30,2023-07-27
00006179220238260344,TJSP,G1,Cumprimento de sentença,156,Tratamento médico-hospitalar,1,01 CIVEL DE MARILIA,3529005.0,SAJ,Eletrônico,0,2023-01-30,2023-07-19
10001183520198260408,TJSP,G2,Remessa Necessária Cível,199,Planos de Saúde,1,9ª CÂMARA DE DIREITO PÚBLICO,3550308.0,SAJ,Eletrônico,0,2023-01-30,2023-07-27
10028582420238260602,TJSP,G1,Procedimento do Juizado Especial da Fazenda Pública,14695,Assistência Médico-Hospitalar,1,ANEXO DO JUIZADO ESPECIAL DA FAZENDA PÚBLICA DE SOROCABA,3552205.0,SAJ,Eletrônico,0,2023-01-30,2024-03-10
00010208020238260564,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,05 CIVEL DE SAO BERNARDO DO CAMPO,,SAJ,Eletrônico,0,2023-01-30,2024-08-26
10016471920228260268,TJSP,G2,Apelação Cível,198,Tratamento médico-hospitalar,1,8ª CÂMARA DE DIREITO PRIVADO,,SAJ,Eletrônico,0,2023-01-30,2025-08-14
20135217520238260000,TJSP,G2,Agravo de Instrumento,202,Tratamento médico-hospitalar,1,1ª CÂMARA DE DIREITO PRIVADO,3550308.0,SAJ,Eletrônico,0,2023-01-30,2023-07-27
20136109820238260000,TJSP,G2,Agravo de Instrumento,202,Tratamento médico-hospitalar,1,1ª CÂMARA DE DIREITO PRIVADO,3550308.0,SAJ,Eletrônico,0,2023-01-30,2023-07-27
00013431020238260007,TJSP,G1,Cumprimento de sentença,156,Fornecimento de medicamentos,1,05 CIVEL DE ITAQUERA,,SAJ,Eletrônico,0,2023-01-30,2024-07-19
00014534520238260577,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,05 CIVEL DE SAO JOSE DOS CAMPOS,,SAJ,Eletrônico,0,2023-01-31,2024-08-26
10202239020218260625,TJSP,G2,Apelação Cível,198,Tratamento médico-hospitalar,2,3ª CÂMARA DE DIREITO PRIVADO,3550308.0,SAJ,Eletrônico,0,2023-01-31,2023-07-27
00000348820238260027,TJSP,G1,Procedimento do Juizado Especial da Fazenda Pública,14695,Fornecimento de medicamentos,1,JUIZADO ESPECIAL CIVEL E CRIMINAL DE IACANGA,3519105.0,SAJ,Eletrônico,0,2023-01-31,2024-02-28
10223056420208260032,TJSP,G2,Apelação Cível,198,Fornecimento de medicamentos,1,3ª CÂMARA DE DIREITO PÚBLICO,3550308.0,SAJ,Eletrônico,0,2023-01-31,2023-08-28
10006646820238260079,TJSP,G1,Procedimento do Juizado Especial da Fazenda Pública,14695,Custeio de Assistência Médica,1,VARA JUIZADO ESP. CIVEL CRIM. DE BOTUCATU,3507506.0,SAJ,Eletrônico,0,2023-01-31,2024-02-28
20145523320238260000,TJSP,G2,Agravo de Instrumento,202,Tratamento médico-hospitalar,1,1ª CÂMARA DE DIREITO PRIVADO,3550308.0,SAJ,Eletrônico,0,2023-01-31,2023-07-27
00003186120238260362,TJSP,G1,Cumprimento de sentença,156,Tratamento médico-hospitalar,1,01 CIVEL DE MOJI GUACU,,SAJ,Eletrônico,0,2023-01-31,2024-08-25
00020586720238260002,TJSP,G1,Cumprimento de sentença,156,Tratamento médico-hospitalar,1,01 CIVEL DE SANTO AMARO,3550308.0,SAJ,Eletrônico,0,2023-01-31,2023-07-19
00025721320238260554,TJSP,G1,Cumprimento de sentença,156,Tratamento médico-hospitalar,1,05 CIVEL DE SANTO ANDRE,3547809.0,SAJ,Eletrônico,0,2023-01-31,2023-07-19
00005809520238260625,TJSP,G1,Cumprimento de Sentença contra a Fazenda Pública,12078,Assistência Médico-Hospitalar,1,FAZENDA PUBLICA DE TAUBATE,,SAJ,Eletrônico,0,2023-02-01,2024-08-26
10011646620238260037,TJSP,G1,Procedimento do Juizado Especial da Fazenda Pública,14695,Custeio de Assistência Médica,1,FAZENDA PUBLICA DE ARARAQUARA,3503208.0,SAJ,Eletrônico,0,2023-02-01,2023-07-20
10603685420208260002,TJSP,G2,Embargos de Declaração Cível,1689,Tratamento médico-hospitalar,1,2ª CÂMARA DE DIREITO PRIVADO,3550308.0,SAJ,Eletrônico,0,2023-02-01,2023-07-27
00009923920238260071,TJSP,G1,Procedimento Comum Infância e Juventude,1706,Fornecimento de medicamentos,1,INFANCIA JUVENTUDE DE BAURU,3506003.0,SAJ,Eletrônico,0,2023-02-01,2024-02-28
00016113420238260114,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,06 CIVEL DE CAMPINAS,,SAJ,Eletrônico,0,2023-02-01,2025-02-05
00010460520238260071,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,04 CIVEL DE BAURU,3506003.0,SAJ,Eletrônico,0,2023-02-01,2024-02-28
00003134020238260297,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,05 CUMULATIVA DE JALES,3524808.0,SAJ,Eletrônico,0,2023-02-02,2024-02-28
10005865720238260408,TJSP,G1,Procedimento do Juizado Especial da Fazenda Pública,14695,Assistência Médico-Hospitalar,1,VARA JUIZADO ESPECIAL CIVEL DE OURINHOS,3534708.0,SAJ,Eletrônico,0,2023-02-02,2024-02-28
00013306020218260272,TJSP,G1,Requisição de Pequeno Valor,1266,Planos de Saúde,1,JUIZADO ESPECIAL CIVEL CRIM. DE ITAPIRA,,SAJ,Eletrônico,0,2023-02-02,2024-08-26
00003142520238260297,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,05 CUMULATIVA DE JALES,,SAJ,Eletrônico,0,2023-02-02,2024-11-13
10448877720228260100,TJSP,G2,Apelação Cível,198,Fornecimento de medicamentos,1,4ª CÂMARA DE DIREITO PRIVADO,,Inválido,Eletrônico,0,2023-02-02,2024-08-30
00006467520238260625,TJSP,G1,Cumprimento Provisório de Sentença,157,Fornecimento de medicamentos,1,FAZENDA PUBLICA DE TAUBATE,,SAJ,Eletrônico,0,2023-02-02,2024-08-26
00050543520238260100,TJSP,G1,Cumprimento de sentença,156,Planos de Saúde,1,32 CIVEL DE CENTRAL,,SAJ,Eletrônico,0,2023-02-02,2024-07-20
10150654320228260003,TJSP,G2,Embargos de Declaração Cível,1689,Fornecimento de medicamentos,1,6ª CÂMARA DE DIREITO PRIVADO,,SAJ,Eletrônico,0,2023-02-02,2024-07-19
10012157720238260037,TJSP,G1,Procedimento do Juizado Especial da Fazenda Pública,14695,Assistência Médico-Hospitalar,2,FAZENDA PUBLICA DE ARARAQUARA,3503208.0,SAJ,Eletrônico,0,2023-02-02,2023-07-20
00056997220228260269,TJSP,G1,Requisição de Pequeno Valor,1266,Fornecimento de medicamentos,1,VARA JUIZADO ESP. CIVEL CRIM. DE ITAPETININGA,,SAJ,Eletrônico,0,2023-02-02,2024-07-19
10183098320228260001,TJSP,G2,Apelação Cível,198,Fornecimento de medicamentos,1,10ª CÂMARA DE DIREITO PRIVADO,,Inválido,Eletrônico,0,2023-02-02,2024-08-30
00028034720228260272,TJSP,G1,Requisição de Pequeno Valor,1266,Fornecimento de medicamentos,1,01 CUMULATIVA DE ITAPIRA,,SAJ,Eletrônico,0,2023-02-02,2024-08-26
00015342220238260309,TJSP,G1,Cumprimento Provisório de Sentença,157,Fornecimento de medicamentos,1,FAZENDA PUBLICA DE JUNDIAI,,SAJ,Eletrônico,0,2023-02-02,2024-08-25
22470443120228260000,TJSP,G2,Embargos de Declaração Cível,1689,Fornecimento de medicamentos,1,2ª CÂMARA DE DIREITO PRIVADO,3550308.0,SAJ,Eletrônico,0,2023-02-02,2023-07-27
10009080320238260077,TJSP,G1,Mandado de Segurança Cível,120,Fornecimento de medicamentos,1,01 CIVEL DE BIRIGUI,3506508.0,SAJ,Eletrônico,0,2023-02-03,2024-02-28
00000549820238260538,TJSP,JE,Cumprimento de sentença,156,Planos de Saúde,1,JUIZADO ESPECIAL CIVEL CRIM. DE SANTA CRUZ DAS PALMEIRAS,,SAJ,Eletrônico,0,2023-02-03,2025-08-14
00016355320238260602,TJSP,G1,Cumprimento de Sentença contra a Fazenda Pública,12078,Custeio de Assistência Médica,1,ANEXO DO JUIZADO ESPECIAL DA FAZENDA PÚBLICA DE SOROCABA,3552205.0,SAJ,Eletrônico,0,2023-02-03,2024-03-10
00000744120238260263,TJSP,G1,Procedimento do Juizado Especial da Fazenda Pública,14695,Fornecimento de medicamentos,1,JUIZADO ESPECIAL CIVEL CRIM. DE ITAI,3521804.0,SAJ,Eletrônico,0,2023-02-03,2024-02-28
00016261720238260562,TJSP,G1,Cumprimento Provisório de Decisão,10980,Tratamento médico-hospitalar,1,05 CIVEL DE SANTOS,,SAJ,Eletrônico,0,2023-02-04,2024-08-26
00048707920238260100,TJSP,G1,Cumprimento de sentença,156,Tratamento médico-hospitalar,1,40 CIVEL DE CENTRAL,,SAJ,Eletrônico,0,2023-02-06,2024-07-20
20127621420238260000,TJSP,G2,Agravo Interno Cível,1208,Fornecimento de medicamentos,1,2ª CÂMARA DE DIREITO PÚBLICO,,SAJ,Eletrônico,0,2023-02-06,2024-07-19
00016373220238260405,TJSP,G1,Cumprimento Provisório de Decisão,10980,Tratamento médico-hospitalar,1,08 CIVEL DE OSASCO,,SAJ,Eletrônico,0,2023-02-06,2024-08-25
00002027520238260323,TJSP,G1,Cumprimento de sentença,156,Serviços Hospitalares,1,02 CIVEL DE LORENA,3527207.0,SAJ,Eletrônico,0,2023-02-06,2023-10-20
10008208120238260297,TJSP,G1,Procedimento do Juizado Especial da Fazenda Pública,14695,Assistência Médico-Hospitalar,1,VARA JUIZADO ESP. CIVEL CRIM. DE JALES,3524808.0,SAJ,Eletrônico,0,2023-02-06,2024-02-28
