processo,cd_acordao,classe,assunto,relator,comarca,orgao_julgador,camara,data_julgamento,data_publicacao,regime_inicial,pena_anos,houve_reincidencia,houve_confissao,eh_trafico,n_palavras_ementa,ementa
1500449-48.2020.8.26.0626,20815779,Apelação Criminal,Crimes do Sistema Nacional de Armas,Marcelo Gordo,Caraguatatuba,13ª Câmara de Direito Criminal,13,06/08/2026,07/08/2026,semiaberto,2.3333333333333335,False,False,False,297,"DIREITO PENAL. APELAÇÃO. PORTE ILEGAL DE ARMA DE FOGO. RECURSO PARCIALMENTE PROVIDO.
I. Caso em Exame
1. Apelação interposta contra sentença que condenou Fabio Franco de Oliveira por porte ilegal de arma de fogo, conforme artigo 14, caput, da Lei nº 10.826/03, à pena de 2 anos e 4 meses de reclusão, em regime inicial semiaberto, e ao pagamento de 11 dias-multa. O réu apelou, alegando nulidade das provas por busca veicular ilícita e pleiteando absolvição por insuficiência de provas ou ausência de dolo.
II. Questão em Discussão
2. A questão em discussão consiste em (i) verificar a legalidade da busca veicular e a validade das provas obtidas, e (ii) avaliar a suficiência do conjunto probatório para a condenação por porte ilegal de arma de fogo.
III. Razões de Decidir
3. A abordagem policial foi considerada legítima, com base em informações de populares sobre veículo trafegando de forma suspeita, configurando fundada suspeita.
4. Os depoimentos dos policiais foram considerados idôneos e corroborados por outros elementos de prova, não havendo indícios de arbitrariedade.
IV. Dispositivo e Tese
5. Dá-se parcial provimento ao recurso para substituir a pena privativa de liberdade por duas penas restritivas de direitos, consistentes em prestação de serviços à comunidade e prestação pecuniária.
Tese de julgamento: 1. A abordagem policial foi legítima e as provas obtidas são válidas. 2. A substituição da pena privativa de liberdade por restritivas de direitos é adequada e socialmente recomendável.
Legislação Citada: Lei nº 10.826/03, art. 14, caput; Lei nº 11.343/06, art. 28; Código Penal, art. 107, inciso III; Código de Processo Penal, art. 244; Código Penal, art. 44, § 2º.
Jurisprudência Citada: TJSP, Apelação 0037607-53.2007.8.26.0050, Relator(a): Silmar Fernandes, Comarca: São Paulo, 6ª Câmara de Direito Criminal, j. 06/12/2012.
TJSP, Apelação Criminal nº 0077713-44.2012.8.26.0224, Rel. Des. Cardoso Perpétuo, j. 19/03/2015."
1513938-65.2025.8.26.0566,20815747,Apelação Criminal,Ameaça,Marcelo Gordo,São Carlos,13ª Câmara de Direito Criminal,13,06/08/2026,07/08/2026,aberto,2.1666666666666665,False,False,False,210,"DIREITO PENAL. APELAÇÃO. AMEAÇA. PARCIAL PROVIMENTO.
I. Caso em Exame
1. Apelação interposta contra sentença que condenou Wagner Ribeiro de Mattos por ameaça, conforme art. 147, § 1º, do Código Penal, à pena de 02 meses de detenção em regime aberto e indenização mínima de um salário-mínimo à vítima. O réu busca absolvição por atipicidade da conduta ou redução da indenização.
II. Questão em Discussão
2. A questão em discussão consiste em (i) verificar a tipicidade da conduta do réu e (ii) a adequação da indenização fixada.
III. Razões de Decidir
3. A autoria e materialidade do crime de ameaça foram confirmadas por provas testemunhais e documentais, incluindo mensagens ameaçadoras enviadas pelo réu.
4. A indenização foi considerada proporcional e adequada.
IV. Dispositivo e Tese
5. Dá-se parcial provimento ao recurso para redimensionar a pena para 01 mês e 15 dias de detenção e deferir o sursis por 02 anos. Mantém-se a sentença quanto à indenização.
Tese de julgamento: 1. A ameaça configurada por mensagens eletrônicas é típica e punível. 

Legislação Citada: Código Penal, art. 147, § 1º; art. 28, II; art. 44, I; art. 77; art. 78, § 2º, alíneas ""b"" e ""c"".
Jurisprudência Citada: STJ, REsp n. 1.643.051/MS, Rel. Min. Rogerio Schietti Cruz, Terceira Seção, DJe de 8/3/2018."
1518115-19.2025.8.26.0228,20816209,Apelação Criminal,Receptação,Camilo Léllis,São Paulo,4ª Câmara de Direito Criminal,4,07/08/2026,07/08/2026,,,False,False,False,216,"DIREITO PENAL. APELAÇÃO CRIMINAL . RECEPÇÃO E ADULTERAÇÃO DE SINAL IDENTIFICADOR DE VEÍCULO AUTOMOTOR. CONDENAÇÃO MANTIDA.
I. Caso em Exame
O réu foi condenado por recepção e adulteração de sinal identificador de veículo automotor, além de exercício ilegal de profissão. A defesa apelou buscando a absolvição por insuficiência probatória e questionou a validade do laudo pericial.
II. Questão em Discussão
2. A questão em discussão consiste em (i) verificar a suficiência das provas para a reportagem por recepção e adulteração de sinal identificador de veículo, e (ii) a validade do laudo pericial apresentado.
III. Razões de Decidir
3. Os depoimentos dos policiais foram considerados idôneos e suficientes para comprovar a materialidade e autoria dos crimes, corroborados por evidências circunstanciais.
4. A defesa não apresentou justificativa verossímil para a posse dos bens de origem ilícita, e a conduta do réu indicada ciência da origem espúria dos bens.
4. Dispositivo e Tese
5. Recurso desprovido.
Tese de julgamento: 1. A prova testemunhal policial é idônea para embasar a condenação. 2. A posse injustificada de bens de origem ilícita inverte o ônus da prova.
Legislação Citada:
Código Penal, art. 311, §2º, III; arte. 180, caput; arte. 69.
Decreto-lei 3.688/41, art. 47.
Jurisprudência Citada:
STJ, HC 40162/MS, Min. Gilson Dipp, DJ 28.03.2005.
STJ, HC 149540/SP, Ministra Laurita Vaz, DJ 04.05.2011."
1525559-57.2025.8.26.0114,20816192,Apelação Criminal,Leve,Camilo Léllis,Campinas,4ª Câmara de Direito Criminal,4,07/08/2026,07/08/2026,semiaberto,4.416666666666667,True,False,False,241,"DIREITO PENAL. APELAÇÃO. LESÃO CORPORAL E RESISTÊNCIA. RECURSO DESPROVIDO.
I. Caso em Exame
Apelação interposta contra sentença de que o condenou a 5 meses e 25 dias de detenção, em regime semiaberto, por lesão corporal e resistência, conforme artigos 129, caput, e 329, §2º, na forma do art. 69, todos do Código Penal. O apelante busca a absolvição por insuficiência probatória ou, alternativamente, o abrandamento do regime inicial .
II. Questão em Discussão
2. A questão em discussão consiste em (i) verificar a suficiência das provas para as reportagens e (ii) a adequação do regime inicial de cumprimento da pena.
III. Razões de Decidir
3. A materialidade e autoria delitivas foram comprovadas por boletim de ocorrência, laudo de exame de corpo de delito e depoimentos dos guardas municipais, que confirmaram a resistência e agressão por parte do réu.
4. A palavra dos agentes da lei, corroborada por provas, possui força probante significativa, não havendo elementos que desabonem seus testemunhos. A reincidência do réu justifica o regime semiaberto, conforme art. 33, §2º, 'c', do Código Penal.
4. Dispositivo e Tese
5. Recurso desprovido.
Tese de julgamento: 1. A palavra dos agentes públicos, quando coerente e segura, possui eficácia probatória. 2. A reincidência justifica a imposição de regime semiaberto, mesmo para penas inferiores a 4 anos.
Legislação Citada:
Código Penal, arts. 129, caput, 329, §2º, 69, 33, §2º, 'c'.
Jurisprudência Citada:
STF, HC 74438/SP, Rel. Min. Celso de Mello, 2ª Turma, j. 26.11.1996."
1504222-68.2025.8.26.0548,20816060,Apelação Criminal,Roubo Majorado,Camilo Léllis,Campinas,4ª Câmara de Direito Criminal,4,07/08/2026,07/08/2026,fechado,,True,True,False,1020,"DIREITO PENAL. APELAÇÕES CRIMINAIS . ROUBO MAJORADO E EXTORSÃO QUALIFICADA. AUTORIA DELITIVA. PALAVRA DA VÍTIMA. DEPOIMENTOS POLICIAIS. SIMULACRO DE ARMA DE FOGO. GRAVE AMEAÇA. EXTORSÃO. CRIME FORMAL. ROUBO CONSUMADO. INVERSÃO DA POSSE. RESTRIÇÃO DA LIBERDADE DA VÍTIMA. CONCURSO DE AGENTES. CONSUNÇÃO AFASTADA. CONCURSO MATERIAL. CONFISSÃO PARCIAL E QUALIFICADA. SÚMULA 545 E TEMA 1.194 DO STJ. RECURSO DE UM DOS RÉUS PARCIALMENTE PROVIDO E DO CORRÉU DESPROVIDO.
I. Caso em Exame
1. Recursos defensivos interpostos contra sentença que condenou dois réus pela prática dos crimes de roubo majorado pelo concurso de agentes e pela restrição da liberdade da vítima, e extorsão qualificada pela restrição da liberdade da vítima, majorada pelo concurso de agentes, com incidência da agravante relativa à idade da vítima (idosa). A defesa de um réu busca, dentre outros pedidos, o afastamento da extorsão, o reconhecimento de crime único ou consunção, a tentativa de roubo, a incidência da confissão espontânea e a revisão do regime. A defesa do coacusado pretende a absolvição por insuficiência probatória, sustentando ausência de adesão subjetiva à empreitada criminosa, além de formular pedidos subsidiários semelhantes quanto à extorsão, consunção, concurso formal, tentativa, dosimetria e regime.
II. Questão em Discussão
2. A questão em discussão consiste em saber se: (i) se a materialidade e a autoria delitivas restaram suficientemente comprovadas; (ii) a palavra da vítima, corroborada pelos depoimentos policiais e pelas circunstâncias do flagrante, autoriza a manutenção da condenação; e (iii) o delito de extorsão restou caracterizado e consumado, embora não obtida vantagem econômica; (iv) o roubo deve ser reconhecido na forma tentada ou se houve consumação pela inversão da posse; (v) a extorsão deve ser absorvida pelo roubo, ou, subsidiariamente, se há concurso formal, continuidade delitiva ou concurso material; (vi) são devidas as majorantes do concurso de agentes e da restrição da liberdade da vítima, bem como a qualificadora da extorsão; (vii) um acusado faz jus ao reconhecimento proporcional da atenuante da confissão espontânea, diante de admissão parcial e qualificada de elementos nucleares da atuação criminosa.
III. Razões de Decidir
3. A materialidade e a autoria delitivas restaram demonstradas pelo auto de prisão em flagrante, boletim de ocorrência, autos de exibição, apreensão e entrega, além da prova oral judicializada, destacando-se os relatos firmes da vítima e dos policiais militares responsáveis pela prisão em flagrante dos réus.
4. negativa de participação apresentada por um dos réus não encontra amparo no conjunto probatório, pois ele foi visto no contexto da execução criminosa, empreendeu fuga, foi capturado nas imediações, estava vinculado ao veículo utilizado na empreitada e foi reconhecido pela vítima.
5. O simulacro de arma de fogo, embora não autorize a majorante do emprego de arma de fogo, é meio idôneo para caracterizar a grave ameaça, sobretudo no contexto de abordagem em residência, condução da vítima ao quarto, amarração, amordaçamento e restrição de sua liberdade.
6. A extorsão é delito formal e consuma-se independentemente da efetiva obtenção da vantagem indevida, bastando o constrangimento mediante violência ou grave ameaça com essa finalidade.
7. O roubo se consuma com a inversão da posse dos bens, ainda que por breve lapso temporal e com recuperação posterior, sendo prescindível a posse mansa, pacífica ou desvigiada da res.
8. Roubo e extorsão são crimes autônomos, com momentos consumativos distintos e desígnios independentes, sendo inviável a absorção, o reconhecimento de crime único, de concurso formal ou de continuidade delitiva.
9. A restrição da liberdade da vítima pode, simultaneamente, majorar o roubo e qualificar a extorsão, sem configurar 'bis in idem', e a causa de aumento do concurso de agentes prevista no art. 158, §1º, do Código Penal incide sobre a extorsão qualificada do §3º do mesmo dispositivo.
10. A confissão parcial ou qualificada, quando importa admissão de elemento nuclear da atuação criminosa, autoriza a incidência proporcional da atenuante do art. 65, III, ""d"", do Código Penal, conforme a Súmula 545 e o Tema Repetitivo nº 1.194, ambos do STJ.
11. As penas foram fixadas com observância ao critério trifásico, cabendo apenas pequeno reparo quanto a um réu, para reconhecer a confissão parcial e reduzir o incremento líquido da segunda fase. O regime fechado permanece adequado pelo quantum das reprimendas e, quanto ao corréu, também pela reincidência.
IV. Dispositivo e Tese
12. Recurso de um acusado parcialmente provido e do outro desprovido.
Tese de julgamento: 1. A palavra da vítima, quando firme, coerente e corroborada pelos demais elementos de prova, possui especial relevância nos crimes patrimoniais praticados na clandestinidade; 2. O simulacro de arma de fogo, embora não caracterize a majorante do emprego de arma de fogo, pode configurar grave ameaça; 3. A recuperação dos bens logo após a prisão em flagrante não descaracteriza a consumação do roubo quando já verificada a inversão da posse; 4. Roubo e extorsão, quando praticados mediante condutas autônomas e com momentos consumativos distintos, configuram concurso material; 5. A restrição da liberdade da vítima pode majorar o roubo e qualificar a extorsão sem configurar 'bis in idem'. 
Legislação Citada:
CP, arts. 14, II; 17; 33, §§2º e 3º; 61, II, ""h""; 65, III, ""d""; 69; 157, §2º, II e V; 158, §§1º e 3º;
CPP, art. 386, IV, V e VII.
Jurisprudência Citada:
STF: HC 113900/SP, Rel. Min. Teori Zavascki, Segunda Turma, j. 20.11.2014.
STJ: Súmulas 96, 545 e 582; Tema Repetitivo nº 1.194; REsp 2.001.973/RS, Rel. Min. Og Fernandes, Terceira Seção, j. 10.09.2025; EDcl no REsp 1.286.810/RS, Rel. Min. Campos Marques, Quinta Turma, DJe 26.04.2013; HC 185.815/SP, Rel. Min. Marilza Maynard, Sexta Turma, j. 04.02.2014, DJe 24.02.2014; HC 344.832/SP, Rel. Min. Reynaldo Soares da Fonseca, Quinta Turma, DJe 29.02.2016; HC 40.162/MS, Rel. Min. Gilson Dipp, DJ 28.03.2005; HC 149.540/SP, Rel. Min. Laurita Vaz, DJe 04.05.2011.
TJSP: Apelação Criminal 0016163-46.2018.8.26.0577, Rel. Gilda Alves Barbosa Diodatti, 15ª Câmara de Direito Criminal, j. 28.07.2020; Apelação Criminal 1505732-14.2022.8.26.0228, Rel. Fátima Vilas Boas Cruz, 4ª Câmara de Direito Criminal, j. 27.06.2023; Apelação Criminal 1510186-03.2023.8.26.0228, Rel. Christiano Jorge, 15ª Câmara de Direito Criminal, j. 22.09.2023; Apelação Criminal 1529465-09.2022.8.26.0228, Rel. Freddy Lourenço Ruiz Costa, 8ª Câmara de Direito Criminal, j. 22.09.2023; Apelação 0000922-32.2016.8.26.0050, Rel. Juvenal Duarte, 5ª Câmara de Direito Criminal, j. 31.08.2017; Apelação 0093673-14.2011.8.26.0050, Rel. Ely Amioka, 8ª Câmara de Direito Criminal, j. 22.09.2016."
1506368-21.2024.8.26.0224,20815926,Apelação Criminal,Roubo Majorado,Camilo Léllis,Guarulhos,4ª Câmara de Direito Criminal,4,07/08/2026,07/08/2026,fechado,10.333333333333334,False,False,False,238,"DIREITO PENAL. APELAÇÃO CRIMINAL . ROUBO QUALIFICADO. RECURSO DESPROVIDO.
I. Caso em Exame
O réu foi condenado a 10 anos, 4 meses e 13 dias de reclusão, em regime inicial fechado, por roubo qualificado com emprego de arma de fogo e concurso de agentes. O crime ocorreu em Guarulhos, onde, em conjunto com outro indivíduo, subtraiu uma motocicleta mediante grave ameaça. A vítima reconheceu o acusado, e a materialidade foi comprovada por boletim de ocorrência e depoimentos.
II. Questão em Discussão
2. A questão em discussão consiste em (i) a alegação de insuficiência probatória para absolvição e (ii) a pretensão de redução da pena aplicada.
III. Razões de Decidir
3. A materialidade e autoria do crime foram comprovadas por provas robustas, incluindo o reconhecimento pela vítima e depoimentos de policiais.
4. A pena foi corretamente dosada, considerando as circunstâncias do delito e as causas de aumento previstas no Código Penal.
IV. Dispositivo e Tese
5. Recurso desprovido.
Tese de julgamento: 1. A palavra da vítima tem especial relevância em crimes patrimoniais. 2. A aplicação cumulativa das causas de aumento de pena é permitida e justificada pelas circunstâncias do caso.

Legislação Citada:
CP, art. 157, § 2º, II, e § 2º-A, I; art. 68, parágrafo único.
Jurisprudência Citada:
STJ, AgRg no HC 666.284/SC, Rel. Min. Reynaldo Soares da Fonseca, Quinta Turma, j. 01/06/2021.
TJSP, Apelação Criminal 1561750-26.2018.8.26.0477, Rel. Luis Soares de Mello, 4ª Câmara de Direito Criminal, j. 08/10/2019."
0000651-18.2025.8.26.0370,20816217,Apelação Criminal,Restituição de Coisas Apreendidas,Camilo Léllis,Monte Azul Paulista,4ª Câmara de Direito Criminal,4,07/08/2026,07/08/2026,,,False,False,False,277,"DIREITO PENAL. APELAÇÃO CRIMINAL . RESTITUIÇÃO DE VEÍCULO APREENDIDO. RECURSO NÃO PROVIDO.
I. Caso em Exame
Apelação interposta contra decisão que indeferiu pedido de restituição de veículo, apreendido em inquérito policial que investigou crimes de associação criminosa e furtos qualificados. O apelante alega ser terceiro de boa-fé e legítimo proprietário do veículo, argumentando que a apreensão não deve subsistir.
II. Questão em Discussão
2. A questão em discussão consiste em determinar se o veículo apreendido deve ser restituído ao apelante, considerando sua alegação de boa-fé e a utilização do bem na prática de crimes.
III. Razões de Decidir
3. A sentença condenatória reconheceu que o veículo foi utilizado na execução de crimes e teve suas parcelas quitadas com recursos ilícitos, justificando seu perdimento com base no art. 91, II, do Código Penal. 4. A alegação de boa-fé do apelante não prospera, pois ele também figurou como investigado e foi beneficiário de valores desviados, além de o contrato de compra e venda indicar que a posse e o ônus do pagamento pertenciam ao réu condenado na ação penal.
IV. Dispositivo e Tese
5. Recurso desprovido.
Tese de julgamento: 1. A restituição de veículo utilizado em atividade criminosa não é cabível quando há reconhecimento judicial de seu uso como instrumento do crime. 2. A condição de terceiro de boa-fé não se aplica quando o reclamante foi investigado e beneficiário de recursos ilícitos.
Legislação Citada:
Código Penal, art. 91, II, alíneas ""b"" e ""c""; Código de Processo Penal, arts. 118, 119, 120.
Jurisprudência Citada:
Apelação nº 9000001-27.2012.8.26.0286, Rel. Sérgio Coelho, 9.ª Câmara Criminal, j. em 23.05.2013.
Mandado de Segurança nº 0021783-97.2013.8.26.0000, Rel. Almeida Sampaio, 2.ª Câmara Criminal, j. em 15.04.2013."
1500679-26.2024.8.26.0311,20816058,Apelação Criminal,Tráfico de Drogas e Condutas Afins,Camilo Léllis,Junqueirópolis,4ª Câmara de Direito Criminal,4,07/08/2026,07/08/2026,fechado,,True,False,True,829,"DIREITO PENAL. APELAÇÃO CRIMINAL . TRÁFICO DE DROGAS EM ESTABELECIMENTO PRISIONAL. K4 OCULTA EM CHINELO DE VISITANTE. CONCURSO DE AGENTES. ATOS PREPARATÓRIOS. ERRO DE TIPO. NÃO OCORRÊNCIA. DOSIMETRIA. PENA-BASE. ACRÉSCIMO DECORRENTE DA NATUREZA DA DROGA. REGIME PRISIONAL FECHADO. RECURSOS DESPROVIDOS.
I. Caso em Exame
Recursos defensivos interpostos contra sentença que condenou os réus como incursos no art. 33, 'caput', c.c. art. 40, III, ambos da Lei nº 11.343/2006, em episódio que envolveu tentativa de ingresso de entorpecentes em unidade prisional. A defesa do acusado pleiteia a absolvição por insuficiência probatória, o reconhecimento de atipicidade por supostos atos preparatórios, redução da pena-base e abrandamento do regime. A defesa da corré requer a absolvição por insuficiência probatória ou erro de tipo e, subsidiariamente, a fixação da pena-base no mínimo legal.
II. Questão em Discussão
2. As questões em discussão consistem em: (i) verificar a suficiência probatória para manutenção das condenações; (ii) aferir se a participação atribuída ao corréu preso ultrapassou o plano dos atos preparatórios; (iii) analisar a alegação de erro de tipo sustentada pela corré visitante; (iv) examinar a incidência da causa de aumento do art. 40, III, da Lei de Drogas; (v) avaliar a correção da dosimetria, especialmente a exasperação das penas-base com fundamento no art. 42 da Lei nº 11.343/2006; e (vi) verificar a adequação do regime inicial fechado imposto ao corréu reincidente..
III. Razões de Decidir
3. A materialidade restou demonstrada pelo boletim de ocorrência, auto de exibição e apreensão, laudo de constatação provisória e laudo toxicológico definitivo, que confirmou a presença de ""MDMB-4EN-PINACA"", substância sintética conhecida como ""K4"", em fragmentos de papel ocultos no chinelo da acusada.
4. A autoria e o concurso de agentes foram comprovados pelo conjunto probatório, especialmente pelas declarações firmes, coerentes e convergentes dos policiais penais que realizaram a revista, detectaram pelo 'scanner' a presença de objeto suspeito no chinelo da visitante e localizaram os fragmentos de papel impregnados com entorpecente.
5. Os depoimentos dos agentes públicos, prestados em juízo, sob o crivo do contraditório, possuem valor probatório idôneo, inexistindo indícios de animosidade, má-fé ou propósito de incriminação indevida dos acusados.
6. A versão defensiva de que os fragmentos seriam ""massinhas de papel"" para tratamento dentário mostrou-se isolada, inverossímil e incompatível com a forma de ocultação, com as características do material apreendido, com o histórico de apreensões semelhantes em ambiente prisional e com o resultado pericial.
7. O corréu preso não foi responsabilizado automaticamente por ser destinatário da visita, mas pelo contexto probatório global, que revela atuação coordenada: cadastramento da visitante, tentativa de ingresso em unidade prisional, droga oculta em objeto pessoal da corré e destinação natural da substância ao ambiente carcerário.
8. Não há falar em atos preparatórios impuníveis, pois o art. 33, 'caput', da Lei nº 11.343/2006 é tipo de ação múltipla, consumando-se com a prática de qualquer de seus núcleos, sendo desnecessária a efetiva comercialização, entrega ou recebimento da substância no interior do presídio.
9. A causa de aumento prevista no art. 40, III, da Lei nº 11.343/2006 incide porque a conduta estava dirigida à introdução de entorpecente em estabelecimento prisional.
10. A dosimetria foi corretamente fixada. A natureza altamente nociva da droga sintética 'K4', a multiplicidade de fragmentos impregnados, o potencial de fracionamento e a destinação ao cárcere justificam a exasperação das penas-base, nos termos do art. 42 da Lei nº 11.343/2006.
11. O regime inicial fechado imposto ao réu preso deve ser preservado, à luz da reincidência, da pena concretamente aplicada e da gravidade concreta da conduta, voltada à introdução de droga sintética em estabelecimento prisional.
IV. Dispositivo e Tese
12. Recursos desprovidos.
Tese de julgamento: 1. Os depoimentos de servidores públicos ligados à segurança (incluindo policiais penais), colhidos em juízo e harmônicos com os demais elementos de prova, são idôneos para sustentar condenação; 2. A ocultação de entorpecentes com tentativa de ingresso em estabelecimento prisional, configura tráfico de drogas, sendo desnecessária a efetiva entrega da substância no cárcere; 3. A participação do preso destinatário da visita pode ser demonstrada por prova circunstancial robusta, quando o conjunto probatório revelar comunhão de esforços e contribuição causal para a introdução do entorpecente; 4. A natureza nociva da droga sintética, a forma de acondicionamento e a destinação ao ambiente prisional autorizam a exasperação da pena-base, nos termos do art. 42 da Lei nº 11.343/2006.
Legislação Citada:
Código Penal, arts. 33, §§2º e 3º, 44, 49, §1º e 59. 
Código de Processo Penal, art. 386, V e VII; 
Lei nº 11.343/2006, arts. 33, 'caput' e §4º, 40, III e 42.
Jurisprudência Citada:
STJ: HC 40.162/MS, Rel. Min. Gilson Dipp, DJ 28.03.2005; HC 149.540/SP, Rel. Min. Laurita Vaz, DJ 04.05.2011; HC 177.980/BA, Rel. Min. Jorge Mussi, j. 28.06.2011; HC 30.776/RJ, Rel. Min. Laurita Vaz, DJ 08.03.2004; HC 372.072, Rel. Min. Nefi Cordeiro, DJe 22.02.2017; AgRg no AREsp 483.235/BA, Rel. Min. Rogerio Schietti Cruz, Sexta Turma, DJe 09.10.2018; AgRg no REsp 1.999.604/MG, Quinta Turma, j. 20.03.2023, DJe 24.03.2023.
TJSP: Apelação Criminal 1625047-87.2018.8.26.0224, Rel. Des. Grassi Neto, 9ª Câmara de Direito Criminal, j. 06.07.2025."
2135329-42.2026.8.26.0000,20815695,Revisão Criminal,Crimes contra a Flora,Antonio B. Morello,Taquarituba,5º Grupo de Direito Criminal,,07/08/2026,07/08/2026,,,False,False,False,54,"REVISÃO CRIMINAL - CRIME AMBIENTAL - ARTIGO 41, CAPUT, DA LEI Nº 9.605/1998 - FATO OCORRIDO EM 17 DE SETEMBRO DE 2018 - REDAÇÃO LEGAL ENTÃO VIGENTE QUE TIPIFICAVA APENAS A CONDUTA DE PROVOCAR INCÊNDIO EM MATA OU FLORESTA - CONDENAÇÃO CONTRÁRIA AO TEXTO EXPRESSO DA LEI PENAL – ABSOLVIÇÃO - PEDIDO REVISIONAL PROCEDENTE."
2067681-45.2026.8.26.0000,20815658,Embargos de Declaração Criminal,Leve,Diniz Fernando,Palmital,15ª Câmara de Direito Criminal,15,07/08/2026,07/08/2026,semiaberto,,False,False,False,301,"DIREITO PENAL. EMBARGOS DE DECLARAÇÃO EM HABEAS CORPUS. ALEGADA OMISSÃO. INEXISTÊNCIA. EMBARGOS REJEITADOS.
I. Caso em Exame
1. Rosinei Pereira Alvim Bertoncini opôs embargos de declaração contra acórdão que denegou ordem de habeas corpus. Sustenta omissão quanto à apreciação de precedente do STJ que admite, em hipóteses excepcionais, a utilização do habeas corpus como sucedâneo de revisão criminal. 
II. Questão em Discussão
2. A questão em discussão consiste em verificar se o acórdão incorreu em omissão ao deixar de apreciar precedente invocado pela Defesa acerca da utilização excepcional do habeas corpus como sucedâneo de revisão criminal.
III. Razões de Decidir
3. Os embargos de declaração destinam-se exclusivamente à correção de ambiguidade, obscuridade, contradição ou omissão, vícios não verificados na hipótese.
4. O acórdão examinou a pretensão deduzida no habeas corpus, voltada à obtenção de prisão domiciliar, concluindo pela regularidade da expedição da guia de recolhimento e pela competência do Juízo das Execuções Criminais para apreciação da matéria.
5. O precedente invocado pela embargante não interfere na fundamentação adotada nem evidencia vício intrínseco do julgado.
6. O regime inicial semiaberto foi fundamentadamente fixado na condenação e posteriormente mantido em grau recursal, inexistindo flagrante ilegalidade apta a justificar revisão pela via eleita.
IV. Dispositivo e Tese
Embargos de declaração rejeitados.
Tese de julgamento:
7. Não há omissão quando o acórdão aprecia integralmente a pretensão deduzida no habeas corpus e apresenta fundamentação suficiente para a solução da controvérsia.
8. Os embargos de declaração não se prestam à rediscussão de matéria já decidida nem à revisão de título condenatório transitado em julgado.
Legislação Citada:
CPP, art. 619.
Jurisprudência Citada:
TJSP, Habeas Corpus Criminal 2128644-19.2026.8.26.0000, Rel. Des. Tetsuzo Namba, 2ª Câmara de Direito Criminal, j. 15/06/2026.
STJ, EDcl nos EDcl nos EDcl nos EDcl na MC n. 11.877/SP, Min. Rogerio Schietti Cruz, Sexta Turma, DJe 13/12/2013."
0003646-18.2016.8.26.0338,20816129,Apelação Criminal,Homicídio Qualificado,Hermann Herschander,Mairiporã,14ª Câmara de Direito Criminal,14,07/08/2026,07/08/2026,,,False,True,False,105,"APELAÇÃO CRIMINAL . LESÃO CORPORAL DE NATUREZA GRAVE. RECURSO DO MINISTÉRIO PÚBLICO. Pretensão de fixação da pena-base em três anos de reclusão e de reconhecimento da agravante do motivo fútil, afastando-se a prescrição da pretensão punitiva. Acolhimento em parte. Culpabilidade exacerbada pelo emprego de arma de fogo, instrumento de alto poder vulnerante. Graves consequências do delito evidenciadas pelas lesões internas suportadas e pelo período de internação. Estipulação da pena de partida em 2/3 acima do piso. Agravante do motivo fútil ora reconhecida e compensada com a atenuante da confissão. Prescrição que não pode ser afastada, ante a quantidade de pena imposta. Recurso provido em parte."
1503353-42.2023.8.26.0624,20816128,Apelação Criminal,Receptação,Hermann Herschander,Tatuí,14ª Câmara de Direito Criminal,14,07/08/2026,07/08/2026,semiaberto,,False,True,False,160,"APELAÇÃO CRIMINAL . RECEPTAÇÃO SIMPLES. RECURSO DA DEFESA.
1. PRETENSÃO DE DESCLASSIFICAÇÃO PARA RECEPTAÇÃO CULPOSA. DESCABIMENTO. Materialidade e autoria delitivas bem demonstradas. Réu surpreendido na condução de veículo furtado menos de vinte dias antes, que não apresentou nenhuma documentação do veículo, informação concreta a respeito do suposto vendedor, registros de comunicação ou qualquer outro elemento objetivo que pudesse conferir lastro à alegada boa-fé. Dolo evidenciado a partir das circunstâncias concretas que envolveram a ação delitiva. Condenação mantida.
2. DOSIMETRIA. PEDIDOS DE ABRANDAMENTO DA PENA E DO REGIME PRISIONAL. Pena-base ora fixada em 1/3 acima do piso. Receptação de veículo automotor. Por outro lado, não há elementos técnicos para que se possa avaliar a personalidade do réu. Impossibilidade de valoração de condenações por fatos posteriores. Jurisprudência do STJ. Na segunda fase, reconhecida a atenuante da confissão. Regime semiaberto. Possibilidade de substituição da pena segregativa por prestação de serviços à comunidade de prestação pecuniária de um salário-mínimo.
3. RECURSO PROVIDO EM PARTE."
